chunk,size,label_distribution,label_proportions
11,2510,"{0: 258, 1: 216, 2: 279, 3: 236, 4: 264, 5: 236, 6: 233, 7: 257, 8: 261, 9: 270}","{0: 0.10278884462151394, 1: 0.08605577689243028, 2: 0.11115537848605578, 3: 0.09402390438247012, 4: 0.1051792828685259, 5: 0.09402390438247012, 6: 0.09282868525896415, 7: 0.10239043824701195, 8: 0.10398406374501992, 9: 0.10756972111553785}"
12,1865,"{0: 176, 1: 171, 2: 178, 3: 188, 4: 200, 5: 190, 6: 202, 7: 181, 8: 208, 9: 171}","{0: 0.09436997319034852, 1: 0.09168900804289544, 2: 0.09544235924932976, 3: 0.10080428954423593, 4: 0.10723860589812333, 5: 0.10187667560321716, 6: 0.10831099195710456, 7: 0.09705093833780161, 8: 0.11152815013404825, 9: 0.09168900804289544}"
13,2678,"{0: 277, 1: 284, 2: 301, 3: 233, 4: 271, 5: 255, 6: 255, 7: 269, 8: 278, 9: 255}","{0: 0.10343539955190441, 1: 0.10604929051530994, 2: 0.11239731142643763, 3: 0.0870052277819268, 4: 0.10119492158327109, 5: 0.09522031366691561, 6: 0.09522031366691561, 7: 0.10044809559372667, 8: 0.10380881254667662, 9: 0.09522031366691561}"
14,2743,"{0: 255, 1: 247, 2: 272, 3: 265, 4: 267, 5: 304, 6: 300, 7: 293, 8: 263, 9: 277}","{0: 0.0929639081297849, 1: 0.09004739336492891, 2: 0.0991615020051039, 3: 0.09660955158585491, 4: 0.0973386802770689, 5: 0.11082756106452789, 6: 0.10936930368209989, 7: 0.1068173532628509, 8: 0.09588042289464091, 9: 0.1009843237331389}"
15,2773,"{0: 233, 1: 285, 2: 265, 3: 283, 4: 287, 5: 304, 6: 282, 7: 256, 8: 277, 9: 301}","{0: 0.08402452217814642, 1: 0.10277677605481428, 2: 0.09556437071763434, 3: 0.10205553552109628, 4: 0.10349801658853228, 5: 0.10962856112513523, 6: 0.1016949152542373, 7: 0.09231878831590336, 8: 0.0998918139199423, 9: 0.10854670032455824}"
16,2424,"{0: 236, 1: 265, 2: 243, 3: 226, 4: 243, 5: 245, 6: 227, 7: 244, 8: 246, 9: 249}","{0: 0.09735973597359736, 1: 0.10932343234323433, 2: 0.10024752475247525, 3: 0.09323432343234324, 4: 0.10024752475247525, 5: 0.10107260726072607, 6: 0.09364686468646864, 7: 0.10066006600660066, 8: 0.10148514851485149, 9: 0.10272277227722772}"
17,2394,"{0: 253, 1: 241, 2: 221, 3: 238, 4: 232, 5: 227, 6: 244, 7: 245, 8: 240, 9: 253}","{0: 0.10568086883876357, 1: 0.10066833751044277, 2: 0.0923141186299081, 3: 0.09941520467836257, 4: 0.09690893901420217, 5: 0.0948203842940685, 6: 0.10192147034252297, 7: 0.1023391812865497, 8: 0.10025062656641603, 9: 0.10568086883876357}"
18,2453,"{0: 250, 1: 230, 2: 235, 3: 246, 4: 237, 5: 241, 6: 257, 7: 261, 8: 244, 9: 252}","{0: 0.10191602119853241, 1: 0.09376273950264982, 2: 0.09580105992662047, 3: 0.1002853648593559, 4: 0.09661638809620872, 5: 0.09824704443538525, 6: 0.10476966979209132, 7: 0.10640032613126783, 8: 0.09947003668976763, 9: 0.10273134936812067}"
19,2915,"{0: 292, 1: 275, 2: 301, 3: 277, 4: 301, 5: 289, 6: 287, 7: 293, 8: 296, 9: 304}","{0: 0.10017152658662093, 1: 0.09433962264150944, 2: 0.1032590051457976, 3: 0.09502572898799314, 4: 0.1032590051457976, 5: 0.09914236706689537, 6: 0.09845626072041166, 7: 0.10051457975986278, 8: 0.10154373927958833, 9: 0.10428816466552315}"
20,2433,"{0: 249, 1: 263, 2: 246, 3: 236, 4: 240, 5: 258, 6: 223, 7: 243, 8: 228, 9: 247}","{0: 0.10234278668310727, 1: 0.10809699958898479, 2: 0.10110974106041924, 3: 0.09699958898479244, 4: 0.09864364981504316, 5: 0.1060419235511714, 6: 0.0916563912864776, 7: 0.0998766954377312, 8: 0.093711467324291, 9: 0.10152075626798192}"
